core_2
"1. رفتارهای خوب
2. استقلال
3. کار سخت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار"
2، 3، 4، 6، 8
"2. استقلال
3. کار سخت
4. احساس مسئولیت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار"
2، 3، 4، 6، 8
2، 4، 5، 6، 8
"1. رفتارهای خوب
2. استقلال
3. کار سخت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار"
2، 3، 4، 6، 8
2، 3، 4، 6، 8.
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 4، 6، 8، 11
2 ، 3 ، 4 ، 6 ، 8
1، 2، 3، 4، 6
"2. استقلال
4. احساس مسئولیت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار
11. اطاعت"
"2, 3, 4, 6, 8"
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8.
"1, 2, 3, 4, 6"
2، 3، 4، 6، 8
2، 3، 4، 6، 8
1، 2، 3، 4، 6.
"1. رفتارهای خوب
2. استقلال
3. کار سخت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار."
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8
1، 2، 3، 6، 8
"2, 3, 4, 6, 8"
2، 4، 5، 6، 8
2، 3، 4، 6، 8
"2. استقلال
3. کار سخت
4. احساس مسئولیت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار"
"1. رفتارهای خوب
2. استقلال
5. تخیل
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار"
1، 2، 4، 6، 8
"1. رفتارهای خوب 
2. استقلال
4. احساس مسئولیت 
6. تحمل و احترام به افراد دیگر
8. عزم، پشتکار"
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8.
"2. استقلال
3. کار سخت
4. احساس مسئولیت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار"
2، 3، 4، 6، 8
"2. استقلال
4. احساس مسئولیت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار
11. اطاعت"
2، 3، 4، 6، 8
2، 4، 6، 8، 11
"2. استقلال
3. کار سخت
4. احساس مسئولیت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار"
2، 3، 4، 6، 8
"2. استقلال
4. احساس مسئولیت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار
11. اطاعت"
2، 3، 4، 6، 8
2، 4، 6، 8، 11
"1- رفتارهای خوب
2- استقلال
3- کار سخت
6- تحمل و احترام به افراد دیگر
8- عزم ، پشتکار"
1، 2، 3، 4، 6.
2 ، 3 ، 4 ، 6 ، 8
1، 2، 3، 4، 6
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8
"2, 3, 4, 6, 8"
1، 2، 3، 4، 6
2، 3، 4، 6، 8
2. استقلال، 3. کار سخت، 4. احساس مسئولیت، 6. تحمل و احترام به افراد دیگر، 8. عزم، پشتکار.
2، 3، 4، 6، 8.
2 ، 4 ، 6 ، 8 ، 11
2، 3، 4، 6، 8
2، 3، 4، 6، 8.
1،2،3،4،6
2، 3، 4، 6، 8
"2. استقلال
3. کار سخت
4. احساس مسئولیت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار"
2، 4، 5، 6، 8
2، 3، 4، 6، 8.
1، 2، 3، 4، 6
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8
1، 2، 4، 6، 8
1، 2، 4، 6 و 8.
"2, 3, 4, 6, 8"
"2, 3, 4, 6, 8"
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 4، 5، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 4، 5، 6، 8
1 ، 2 ، 3 ، 4 ، 6
2، 3، 4، 6، 8
"2, 3, 4, 6, 8"
2، 3، 4، 6، 8.
2، 3، 4، 6، 8
1، 2، 4، 6، 8
"1. رفتارهای خوب
2. استقلال
3. کار سخت
6. تحمل و احترام به افراد دیگر
8. عزم ، پشتکار"
1، 2، 3، 4، 6
1، 2، 3، 4، 6
2، 3، 4، 6، 8
2، 3، 4، 6، 8
2، 4، 5، 6، 8
2، 3، 4، 6، 8
1، 2، 4، 6، 8.
