Date,Slug,Usage,BYOK Usage
"2026-05-19 00:00:00","deepseek/deepseek-v4-pro","16.713","0"
"2026-05-19 00:00:00","moonshotai/kimi-k2.5","13.51333","0"
"2026-05-19 00:00:00","minimax/minimax-m2.5:free","0","0"
"2026-05-19 00:00:00","qwen/qwen3.6-flash","11.905133","0"
"2026-05-18 00:00:00","z-ai/glm-5","26.433136","0"
"2026-05-18 00:00:00","deepseek/deepseek-v4-pro","0.018623","0"
"2026-05-18 00:00:00","qwen/qwen3.6-flash","22.687956","0"
"2026-05-18 00:00:00","moonshotai/kimi-k2.5","0.147356","0"
"2026-05-17 00:00:00","moonshotai/kimi-k2.5","8.225509","0"
"2026-05-17 00:00:00","minimax/minimax-m2.5:free","0","0"
"2026-05-16 00:00:00","minimax/minimax-m2.5:free","0","0"
"2026-05-16 00:00:00","deepseek/deepseek-v4-pro","53.696248","0"
"2026-05-15 00:00:00","anthropic/claude-haiku-4.5","24.840469","0"
"2026-05-15 00:00:00","moonshotai/kimi-k2.5","0.7035","0"
"2026-05-15 00:00:00","minimax/minimax-m2.5:free","0","0"
"2026-05-15 00:00:00","openai/gpt-5.4-mini","5.292707","0"
"2026-05-15 00:00:00","google/gemini-3.1-flash-lite","1.529832","0"
"2026-05-15 00:00:00","meta-llama/llama-4-maverick","6.113803","0"
"2026-05-14 00:00:00","anthropic/claude-haiku-4.5","0.006546","0"
"2026-05-14 00:00:00","moonshotai/kimi-k2.5","0.935803","0"
"2026-05-14 00:00:00","deepseek/deepseek-v4-pro","0.700536","0"
"2026-05-14 00:00:00","openai/gpt-5.4-mini","0.001686","0"
"2026-05-13 00:00:00","moonshotai/kimi-k2.5","4.808825","0"
"2026-05-13 00:00:00","minimax/minimax-m2.5:free","0","0"
"2026-05-13 00:00:00","deepseek/deepseek-v4-pro","1.294218","0"
"2026-05-13 00:00:00","openai/gpt-5.4-mini","0.10241","0"
"2026-05-13 00:00:00","anthropic/claude-haiku-4.5","0.486986","0"
"2026-05-13 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","0","0"
"2026-05-13 00:00:00","google/gemini-3.1-flash-lite","0.014427","0"
"2026-05-12 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","0","0"
"2026-05-12 00:00:00","minimax/minimax-m2.5:free","0","0"
"2026-05-11 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","0","0"
"2026-05-11 00:00:00","minimax/minimax-m2.5:free","0","0"
"2026-05-10 00:00:00","minimax/minimax-m2.5:free","0","0"
"2026-05-10 00:00:00","nvidia/nemotron-3-super-120b-a12b:free","0","0"
