core_2
"6, 2, 4, 10, 8"
"1, 2, 4, 6, 10"
"6, 4, 2, 8, 10"
"6, 10, 4, 2, 8"
"6, 4, 2, 8, 1"
"6, 4, 2, 8, 10"
"1, 4, 6, 8, 10"
"1, 2, 4, 6, 8"
"1, 2, 4, 6, 8"
"1, 2, 4, 6, 10"
"1, 4, 6, 8, 10"
"1, 2, 4, 6, 10"
"6, 4, 8, 10, 3"
"1, 4, 6, 8, 10"
"2, 4, 6, 8, 10"
"2, 4, 6, 10, 8"
"1, 4, 6, 8, 10"
"2, 4, 6, 8, 10"
"6, 4, 2, 8, 10"
"3, 4, 6, 8, 10"
"6, 4, 8, 2, 5"
"6, 4, 3, 2, 10"
"1, 2, 4, 6, 10"
"6, 2, 4, 8, 10"
"1, 4, 6, 8, 10"
"1, 3, 4, 6, 10"
"1, 2, 4, 6, 10"
"1, 2, 4, 6, 10"
"1, 4, 6, 8, 10"
"6, 4, 10, 3, 2"
"1, 4, 6, 8, 10"
"2, 4, 6, 8, 10"
"1, 2, 6, 4, 10"
"6, 4, 2, 3, 10"
"1, 4, 6, 8, 10"
"4, 6, 8, 2, 10"
"1, 2, 4, 6, 10"
"6, 4, 2, 1, 10"
"6, 4, 3, 2, 10"
"6, 4, 2, 8, 10"
"6, 4, 3, 2, 10"
"6, 4, 2, 8, 10"
"6, 4, 2, 3, 10"
"1, 2, 4, 6, 10"
"6, 4, 2, 8, 10"
"2, 4, 6, 8, 10"
"1, 2, 4, 6, 10"
"1, 2, 4, 6, 10"
"1, 4, 6, 8, 10"
"2, 4, 6, 8, 10"
"1, 2, 4, 6, 10"
"6, 10, 4, 3, 2"
"1, 3, 4, 6, 10"
"2, 4, 6, 8, 10"
"1, 2, 4, 6, 10"
"4, 6, 8, 10, 2"
"2, 4, 6, 8, 10"
"2, 4, 6, 8, 10"
"1, 4, 6, 8, 10"
"4, 6, 8, 3, 10"
"1, 2, 4, 6, 8"
"6, 4, 2, 8, 10"
"1, 2, 4, 6, 8"
"6, 4, 2, 8, 10"
"2, 4, 6, 8, 10"
"1, 2, 4, 6, 10"
"6, 2, 4, 3, 10"
"1, 4, 6, 8, 10"
"6, 10, 2, 4, 8"
"6, 2, 4, 1, 8"
"1, 2, 4, 6, 10"
"2, 4, 6, 8, 10"
"1, 2, 4, 6, 8"
"6, 4, 3, 2, 10"
"6, 4, 2, 10, 8"
"6, 4, 10, 2, 3"
"2, 4, 6, 8, 10"
"6, 4, 2, 3, 10"
"2, 4, 6, 8, 10"
"6, 10, 4, 3, 2"
"6, 4, 8, 2, 10"
"1, 2, 4, 6, 10"
"1, 2, 4, 6, 8"
"6, 10, 4, 2, 8"
"6, 4, 2, 3, 10"
"1, 2, 4, 6, 10"
"2, 4, 6, 8, 10"
"6, 4, 10, 2, 3"
"2, 4, 6, 8, 10"
"6, 2, 4, 8, 10"
