core_2
"2, 3, 4, 6, 8"
"2, 3, 4, 6, 8"
"3,4,6,8,10"
"3, 4, 6, 8, 11"
"2, 4, 6, 8, 10"
6 1 3 4 8
"2, 4, 6, 8, 10"
4 5 6 8 11
"3, 4, 6, 8, 10"
"2, 4, 5, 6, 8"
"2, 4, 5, 6, 8"
"1, 2, 4, 6, 8"
"3, 4, 6, 8, 11"
"2, 4, 6, 8, 10."
2 4 6 8 10
"2, 4, 5, 6, 8"
"2, 4, 5, 6, 8"
2 4 6 8 11
"4, 5, 6, 8, 11"
"5, 2, 3, 4, 6"
"3, 4, 6, 8, 11"
2 3 4 6 8
"3, 4, 6, 8, 11"
"2, 4, 6, 8, 10"
"2, 4, 5, 6, 8"
"2, 3, 4, 6, 8"
5 2 3 4 6
2 4 6 8 10
"2, 4, 5, 6, 8"
"6, 2, 4, 8, 11"
1 2 3 4 6
2 4 5 6 8
"2, 4, 6, 8, 11"
"2, 4, 5, 6, 8."
"3, 4, 6, 8, 10"
"2, 3, 4, 6, 8"
3 4 6 8 11
1 2 3 6 8
"2, 4, 6, 8, 11"
2 4 6 8 10
"2, 4, 6, 8, 10"
"2, 4, 5, 6, 8."
"2, 4, 6, 8, 10."
"2, 3, 4, 6, 8"
1 2 4 6 8
"5, 2, 3, 4, 6"
"6, 2, 4, 8, 10"
4 6 7 8 10
"2, 4, 6, 8, 11"
3 4 5 6 8
"2, 4, 5, 6, 8"
"1. 6
2. 2
3. 3
4. 4
5. 5"
"3, 4, 6, 8, 11"
"3, 4, 6, 8, 11"
4 5 6 8 10
2 3 4 6 8
"3, 4, 6, 8, 11"
"2, 4, 6, 8, 11"
"2, 4, 6, 8, 10"
2 4 5 6 8
"2, 4, 5, 6, 8."
1 2 3 4 6
2-4-5-6-8
"2, 4, 5, 6, 8"
"2, 4, 5, 6, 8"
"2, 3, 4, 6, 8"
"2, 4, 6, 8, 11"
"2, 3, 4, 6, 8"
"3, 4, 5, 6, 8"
"6, 2, 4, 5, 8"
"2, 4, 6, 8, 11"
1 2 3 4 6
5 2 3 4 6
1 2 4 6 8
"2, 4, 6, 8, 11"
"2, 4, 5, 6, 8."
"5, 2, 3, 4, 6"
"2, 3, 4, 6, 8"
"2, 3, 4, 6, 8"
"2, 4, 6, 8, 10"
"2, 4, 5, 6, 8"
2 4 6 8 10
"2, 4, 6, 8, 10"
2 4 5 6 8
"2, 4, 6, 8, 11"
1 2 3 6 7
"2, 4, 5, 6, 8"
"6, 2, 4, 8, 11"
"2, 4, 6, 8, 10"
5 2 3 4 6
