name,model,answer,thinking,temperature,wvs_id
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
core_1_1,anthropic/claude-haiku-4.5,1,None,2,1
